Head_px,Head_py,Head_pz,Head_rw,Head_rx,Head_ry,Head_rz,Hips_px,Hips_py,Hips_pz,Hips_rw,Hips_rx,Hips_ry,Hips_rz,LeftHand_px,LeftHand_py,LeftHand_pz,LeftHand_rw,LeftHand_rx,LeftHand_ry,LeftHand_rz,RightHand_px,RightHand_py,RightHand_pz,RightHand_rw,RightHand_rx,RightHand_ry,RightHand_rz,LeftToes_px,LeftToes_py,LeftToes_pz,LeftToes_rw,LeftToes_rx,LeftToes_ry,LeftToes_rz,RightToes_px,RightToes_py,RightToes_pz,RightToes_rw,RightToes_rx,RightToes_ry,RightToes_rz
-0.3698843,1.6366810,-0.6216204,0.9929656,0.0453723,-0.0459211,-0.0992583,-0.3086800,1.0394600,-0.6576900,0.9840557,0.0361899,-0.1664093,0.0513098,-0.5156394,0.9206825,-0.8696913,0.9070743,0.0103046,0.1229382,0.4024879,-0.1732399,1.3347170,-0.2380525,0.4053144,-0.7233573,-0.4754692,-0.2939451,-0.3765632,0.0105491,-0.6631492,0.9535295,0.0176633,-0.3001586,-0.0193530,0.1106128,0.0173512,-0.6376260,0.9808275,0.0719128,0.1587596,0.0871867
-0.3648647,1.6374240,-0.6153175,0.9923472,0.0437393,-0.0505583,-0.1038171,-0.3067000,1.0404000,-0.6607800,0.9816412,0.0423501,-0.1797602,0.0476801,-0.5129697,0.9255812,-0.8626097,0.9036335,-0.0136609,0.1237556,0.4098105,-0.1803523,1.3223540,-0.2292076,0.4103245,-0.7199338,-0.4756522,-0.2951006,-0.3766114,0.0106086,-0.6644834,0.9534619,0.0180878,-0.3003788,-0.0188652,0.1097172,0.0164689,-0.6384208,0.9807716,0.0668358,0.1644307,0.0811339
-0.3606969,1.6377020,-0.6095674,0.9914851,0.0409550,-0.0534759,-0.1114476,-0.3052800,1.0410500,-0.6640500,0.9793516,0.0482401,-0.1911403,0.0448201,-0.5156673,0.9299773,-0.8529024,0.8965009,-0.0348649,0.1296971,0.4221959,-0.1893194,1.3047860,-0.2216669,0.4222093,-0.7130541,-0.4743574,-0.2971173,-0.3764426,0.0105517,-0.6656829,0.9533684,0.0174938,-0.3007624,-0.0180309,0.1088212,0.0162820,-0.6389004,0.9800932,0.0672318,0.1700452,0.0773438
-0.3606969,1.6377020,-0.6095674,0.9914851,0.0409550,-0.0534759,-0.1114476,-0.3052800,1.0410500,-0.6640500,0.9793516,0.0482401,-0.1911403,0.0448201,-0.5156673,0.9299773,-0.8529024,0.8965009,-0.0348649,0.1296971,0.4221959,-0.1893194,1.3047860,-0.2216669,0.4222093,-0.7130541,-0.4743574,-0.2971173,-0.3764426,0.0105517,-0.6656829,0.9533684,0.0174938,-0.3007624,-0.0180309,0.1088212,0.0162820,-0.6389004,0.9800932,0.0672318,0.1700452,0.0773438
-0.3582464,1.6373800,-0.6040286,0.9907045,0.0412195,-0.0553964,-0.1172046,-0.3033600,1.0414400,-0.6670700,0.9769478,0.0544399,-0.2017696,0.0435699,-0.5208870,0.9333487,-0.8412982,0.8914418,-0.0329526,0.1393613,0.4299122,-0.1989786,1.2840540,-0.2144456,0.4394587,-0.7029694,-0.4663448,-0.3085978,-0.3760368,0.0105434,-0.6667483,0.9532982,0.0171329,-0.3010573,-0.0171398,0.1081292,0.0158936,-0.6394349,0.9795359,0.0659521,0.1753911,0.0734690
-0.3552588,1.6367580,-0.5995997,0.9896845,0.0437668,-0.0571206,-0.1238797,-0.3030700,1.0415400,-0.6694700,0.9758193,0.0575200,-0.2062799,0.0437800,-0.5269045,0.9374423,-0.8357270,0.8914874,-0.0391528,0.1443382,0.4276494,-0.2074343,1.2621660,-0.2128832,0.4572808,-0.6939583,-0.4551214,-0.3196577,-0.3759489,0.0104601,-0.6672851,0.9532999,0.0165250,-0.3010860,-0.0171398,0.1079952,0.0159416,-0.6396762,0.9794923,0.0666656,0.1762099,0.0714178
-0.3541637,1.6359110,-0.5950248,0.9886386,0.0445742,-0.0648273,-0.1280802,-0.3024300,1.0415900,-0.6723300,0.9745415,0.0618201,-0.2107403,0.0451201,-0.5292305,0.9411896,-0.8281268,0.8931720,-0.0559203,0.1483124,0.4208571,-0.2202264,1.2260540,-0.2157618,0.4876632,-0.6679123,-0.4601061,-0.3230799,-0.3753679,0.0102508,-0.6679015,0.9531624,0.0148563,-0.3016176,-0.0169631,0.1085806,0.0160797,-0.6401482,0.9799802,0.0666520,0.1741677,0.0697283
-0.3528900,1.6349370,-0.5897494,0.9879159,0.0434514,-0.0701587,-0.1311937,-0.3026200,1.0415100,-0.6755700,0.9740394,0.0675800,-0.2113899,0.0446600,-0.5307662,0.9446605,-0.8169212,0.8919894,-0.0747991,0.1538484,0.4184388,-0.2279209,1.1895310,-0.2189898,0.5182743,-0.6332118,-0.4715190,-0.3287929,-0.3747503,0.0103430,-0.6687639,0.9524262,0.0145592,-0.3041063,-0.0138519,0.1085759,0.0154967,-0.6409991,0.9803131,0.0630246,0.1745001,0.0675576
-0.3521681,1.6341770,-0.5859916,0.9874072,0.0420794,-0.0740080,-0.1333391,-0.3031000,1.0414800,-0.6776800,0.9743457,0.0708497,-0.2091791,0.0432998,-0.5300431,0.9471728,-0.8068460,0.8903310,-0.0928494,0.1615037,0.4154590,-0.2339815,1.1582050,-0.2268304,0.5443551,-0.6066810,-0.4609324,-0.3509386,-0.3748065,0.0102623,-0.6694027,0.9522738,0.0139865,-0.3045647,-0.0148205,0.1082713,0.0150536,-0.6415133,0.9803712,0.0611221,0.1750435,0.0670551
-0.3516814,1.6329230,-0.5815961,0.9867237,0.0414790,-0.0759931,-0.1374086,-0.3036800,1.0414400,-0.6798900,0.9747916,0.0731701,-0.2064904,0.0423001,-0.5326744,0.9542109,-0.7891759,0.8898677,-0.1223346,0.1872469,0.3976289,-0.2374796,1.1117760,-0.2480099,0.5862576,-0.5676345,-0.4205464,-0.3965274,-0.3746763,0.0102643,-0.6698499,0.9518976,0.0138168,-0.3057404,-0.0149338,0.1084391,0.0150439,-0.6419563,0.9802721,0.0615256,0.1751650,0.0678121
