Hips_px,Hips_py,Hips_pz,Hips_rw,Hips_rx,Hips_ry,Hips_rz,Spine_rw,Spine_rx,Spine_ry,Spine_rz,Chest_rw,Chest_rx,Chest_ry,Chest_rz,UpperChest_rw,UpperChest_rx,UpperChest_ry,UpperChest_rz,Neck_rw,Neck_rx,Neck_ry,Neck_rz,Head_rw,Head_rx,Head_ry,Head_rz,LeftShoulder_rw,LeftShoulder_rx,LeftShoulder_ry,LeftShoulder_rz,LeftUpperArm_rw,LeftUpperArm_rx,LeftUpperArm_ry,LeftUpperArm_rz,LeftLowerArm_rw,LeftLowerArm_rx,LeftLowerArm_ry,LeftLowerArm_rz,LeftHand_rw,LeftHand_rx,LeftHand_ry,LeftHand_rz,RightShoulder_rw,RightShoulder_rx,RightShoulder_ry,RightShoulder_rz,RightUpperArm_rw,RightUpperArm_rx,RightUpperArm_ry,RightUpperArm_rz,RightLowerArm_rw,RightLowerArm_rx,RightLowerArm_ry,RightLowerArm_rz,RightHand_rw,RightHand_rx,RightHand_ry,RightHand_rz,LeftUpperLeg_rw,LeftUpperLeg_rx,LeftUpperLeg_ry,LeftUpperLeg_rz,LeftLowerLeg_rw,LeftLowerLeg_rx,LeftLowerLeg_ry,LeftLowerLeg_rz,LeftFoot_rw,LeftFoot_rx,LeftFoot_ry,LeftFoot_rz,LeftToes_rw,LeftToes_rx,LeftToes_ry,LeftToes_rz,RightUpperLeg_rw,RightUpperLeg_rx,RightUpperLeg_ry,RightUpperLeg_rz,RightLowerLeg_rw,RightLowerLeg_rx,RightLowerLeg_ry,RightLowerLeg_rz,RightFoot_rw,RightFoot_rx,RightFoot_ry,RightFoot_rz,RightToes_rw,RightToes_rx,RightToes_ry,RightToes_rz
-0.3086800,1.0394600,-0.6576900,0.9840557,0.0361899,-0.1664093,0.0513098,0.9999632,0.0036717,-0.0032830,0.0070324,1.0000000,0.0000000,0.0000000,0.0000000,0.9998522,0.0073453,-0.0065712,0.0140867,0.9939715,-0.0090171,0.0615017,-0.0903157,0.9942393,-0.0113513,0.0612568,-0.0872181,0.9846162,0.0038021,-0.1744431,0.0092828,0.7959754,0.0566967,0.0034842,0.6026579,0.9852097,0.0783523,0.1485928,0.0338074,0.8992485,0.2887749,0.1448574,-0.2949196,0.9969051,0.0187659,0.0756262,0.0104228,0.7427516,-0.2838255,-0.1571606,-0.5857165,0.8008025,-0.0004073,-0.5743010,-0.1699807,0.9175025,-0.0951733,-0.1519166,0.3550389,0.9929239,-0.1186304,0.0044743,-0.0029991,0.9709100,0.2391797,0.0000010,-0.0112627,0.9768656,-0.1541003,-0.1455953,-0.0280831,0.9999983,0.0001335,-0.0018404,-0.0000003,0.9544834,0.0169759,0.2804659,0.1000607,0.9999997,0.0007765,0.0000036,-0.0000393,0.9903936,0.1162951,0.0301058,-0.0684813,0.9986861,-0.0512465,-0.0000037,0.0000021
-0.3067000,1.0404000,-0.6607800,0.9816412,0.0423501,-0.1797602,0.0476801,0.9999580,0.0052504,-0.0041799,0.0062401,1.0000000,0.0000000,0.0000000,0.0000000,0.9998314,0.0105182,-0.0083773,0.0125117,0.9937455,-0.0161705,0.0657172,-0.0888240,0.9937060,-0.0195446,0.0672623,-0.0874197,0.9847058,0.0008199,-0.1736901,0.0136254,0.7968925,0.0512779,0.0117818,0.6018256,0.9824302,0.0811075,0.1625565,0.0427539,0.9050087,0.2864118,0.1479004,-0.2775844,0.9970952,0.0181642,0.0728538,0.0127930,0.7366704,-0.2900447,-0.1526396,-0.5915167,0.8061159,0.0051059,-0.5695795,-0.1604067,0.9153945,-0.0889452,-0.1605686,0.3582729,0.9921387,-0.1243553,0.0139713,0.0011694,0.9721639,0.2340676,0.0000064,-0.0104778,0.9783196,-0.1484035,-0.1415745,-0.0287007,0.9999983,0.0005834,-0.0017806,-0.0000015,0.9500815,0.0119787,0.2947946,0.1014780,0.9999997,0.0007752,-0.0000034,-0.0000399,0.9896064,0.1177685,0.0353020,-0.0745899,0.9984407,-0.0558228,0.0000017,-0.0000001
-0.3052800,1.0410500,-0.6640500,0.9793516,0.0482401,-0.1911403,0.0448201,0.9999489,0.0067983,-0.0052112,0.0053856,1.0000000,0.0000000,0.0000000,0.0000000,0.9997949,0.0136047,-0.0104364,0.0107762,0.9931425,-0.0245256,0.0706508,-0.0898607,0.9930671,-0.0278538,0.0724399,-0.0882861,0.9849747,-0.0025457,-0.1717580,0.0178192,0.7983328,0.0469671,0.0244795,0.5998831,0.9792997,0.0852538,0.1766005,0.0501613,0.9140022,0.2816197,0.1461369,-0.2528527,0.9972560,0.0177283,0.0707478,0.0126874,0.7313182,-0.2890851,-0.1556318,-0.5978146,0.8159936,0.0064908,-0.5600839,-0.1428930,0.9134911,-0.0824848,-0.1686855,0.3609372,0.9912559,-0.1301154,0.0213346,0.0051637,0.9732174,0.2296498,0.0000076,-0.0104328,0.9796483,-0.1433977,-0.1375171,-0.0285568,0.9999985,0.0001870,-0.0017272,-0.0000052,0.9455183,0.0067936,0.3090857,0.1020546,0.9999997,0.0007753,-0.0000026,-0.0000379,0.9895855,0.1153945,0.0385011,-0.0769574,0.9986834,-0.0512985,0.0000030,-0.0000075
-0.3052800,1.0410500,-0.6640500,0.9793516,0.0482401,-0.1911403,0.0448201,0.9999489,0.0067983,-0.0052112,0.0053856,1.0000000,0.0000000,0.0000000,0.0000000,0.9997949,0.0136047,-0.0104364,0.0107762,0.9931425,-0.0245256,0.0706508,-0.0898607,0.9930671,-0.0278538,0.0724399,-0.0882861,0.9849747,-0.0025457,-0.1717580,0.0178192,0.7983328,0.0469671,0.0244795,0.5998831,0.9792997,0.0852538,0.1766005,0.0501613,0.9140022,0.2816197,0.1461369,-0.2528527,0.9972560,0.0177283,0.0707478,0.0126874,0.7313182,-0.2890851,-0.1556318,-0.5978146,0.8159936,0.0064908,-0.5600839,-0.1428930,0.9134911,-0.0824848,-0.1686855,0.3609372,0.9912559,-0.1301154,0.0213346,0.0051637,0.9732174,0.2296498,0.0000076,-0.0104328,0.9796483,-0.1433977,-0.1375171,-0.0285568,0.9999985,0.0001870,-0.0017272,-0.0000052,0.9455183,0.0067936,0.3090857,0.1020546,0.9999997,0.0007753,-0.0000026,-0.0000379,0.9895855,0.1153945,0.0385011,-0.0769574,0.9986834,-0.0512985,0.0000030,-0.0000075
-0.3033600,1.0414400,-0.6670700,0.9769478,0.0544399,-0.2017696,0.0435699,0.9999395,0.0079302,-0.0060115,0.0046884,1.0000000,0.0000000,0.0000000,0.0000000,0.9997576,0.0158735,-0.0120275,0.0093813,0.9924887,-0.0310884,0.0756570,-0.0909712,0.9924165,-0.0335634,0.0770414,-0.0897081,0.9854444,-0.0065429,-0.1686684,0.0201887,0.7993804,0.0425735,0.0406477,0.5979350,0.9768670,0.0887395,0.1860061,0.0570786,0.9175354,0.2910568,0.1325060,-0.2363407,0.9974653,0.0168660,0.0679113,0.0129116,0.7275741,-0.2854410,-0.1620311,-0.6024163,0.8305587,0.0025891,-0.5421557,-0.1274080,0.9111100,-0.0838804,-0.1732086,0.3644742,0.9901284,-0.1371796,0.0277290,0.0076620,0.9738421,0.2269571,0.0000148,-0.0110488,0.9808109,-0.1398166,-0.1330086,-0.0277506,0.9999986,0.0005031,-0.0016424,-0.0000031,0.9403316,0.0011693,0.3249748,0.1008296,0.9999998,0.0006884,-0.0000018,-0.0000303,0.9895791,0.1136790,0.0390746,-0.0792679,0.9988005,-0.0489658,0.0000012,0.0000002
-0.3030700,1.0415400,-0.6694700,0.9758193,0.0575200,-0.2062799,0.0437800,0.9999351,0.0090598,-0.0065034,0.0023350,1.0000000,0.0000000,0.0000000,0.0000000,0.9997398,0.0181383,-0.0130189,0.0046848,0.9920835,-0.0347082,0.0770409,-0.0928999,0.9923473,-0.0373612,0.0777487,-0.0883519,0.9854363,-0.0085599,-0.1683825,0.0221237,0.8001301,0.0385698,0.0518360,0.5963365,0.9757941,0.0886097,0.1886087,0.0663405,0.9184664,0.2909124,0.1321951,-0.2330533,0.9976681,0.0182291,0.0647332,0.0116499,0.7253076,-0.2824887,-0.1704246,-0.6042222,0.8440771,0.0020820,-0.5231436,-0.1176874,0.9076852,-0.0873494,-0.1767916,0.3704355,0.9892480,-0.1416169,0.0355571,0.0082958,0.9739440,0.2265810,0.0000063,-0.0097054,0.9806715,-0.1376986,-0.1360488,-0.0285197,0.9999986,-0.0001613,-0.0016633,0.0000056,0.9381176,-0.0021065,0.3315274,0.1001031,0.9999997,0.0007756,-0.0000015,-0.0000325,0.9895471,0.1133161,0.0379253,-0.0807323,0.9989099,-0.0466808,0.0000009,-0.0000026
-0.3024300,1.0415900,-0.6723300,0.9745415,0.0618201,-0.2107403,0.0451201,0.9999180,0.0100685,-0.0079097,-0.0001220,1.0000000,0.0000000,0.0000000,0.0000000,0.9996711,0.0201604,-0.0158523,-0.0002543,0.9920989,-0.0399349,0.0756098,-0.0918058,0.9922314,-0.0425156,0.0781461,-0.0869619,0.9851550,-0.0093195,-0.1694162,0.0260974,0.8017483,0.0291715,0.0641769,0.5934898,0.9737676,0.0914403,0.1902988,0.0848631,0.9171420,0.2879768,0.1370583,-0.2390290,0.9979660,0.0175594,0.0597696,0.0135334,0.7202474,-0.2760031,-0.1725406,-0.6126139,0.8653910,0.0134491,-0.4899049,-0.1044548,0.9029275,-0.0789056,-0.1918487,0.3764172,0.9882444,-0.1478821,0.0378822,0.0082996,0.9739703,0.2264590,0.0000091,-0.0099074,0.9812258,-0.1357663,-0.1340018,-0.0284081,0.9999970,-0.0017928,-0.0016724,0.0000072,0.9380838,-0.0059385,0.3320895,0.0983877,0.9999998,0.0006961,-0.0000030,-0.0000381,0.9892695,0.1133931,0.0403279,-0.0828347,0.9989322,-0.0462008,-0.0000045,-0.0000030
-0.3026200,1.0415100,-0.6755700,0.9740394,0.0675800,-0.2113899,0.0446600,0.9998990,0.0108037,-0.0090233,-0.0019906,1.0000000,0.0000000,0.0000000,0.0000000,0.9995943,0.0216650,-0.0180520,-0.0039878,0.9921842,-0.0458438,0.0743797,-0.0890874,0.9922687,-0.0477614,0.0763411,-0.0854034,0.9850542,-0.0114068,-0.1693012,0.0295844,0.8009691,0.0218662,0.0737990,0.5937375,0.9712132,0.0960614,0.1934287,0.1005115,0.9184993,0.2789461,0.1407200,-0.2423757,0.9981955,0.0177828,0.0553688,0.0149611,0.7158637,-0.2691460,-0.1858884,-0.6168835,0.8913115,0.0175375,-0.4449019,-0.0855483,0.9022793,-0.0693643,-0.2081184,0.3711706,0.9874912,-0.1538343,0.0329042,0.0106580,0.9744728,0.2242617,0.0000154,-0.0104633,0.9817715,-0.1354310,-0.1306533,-0.0267018,0.9999990,0.0002996,-0.0013703,-0.0000079,0.9363469,-0.0134609,0.3366664,0.0986359,0.9999998,0.0006963,-0.0000030,-0.0000357,0.9889135,0.1157017,0.0374153,-0.0852256,0.9987586,-0.0498129,0.0000033,-0.0000008
-0.3031000,1.0414800,-0.6776800,0.9743457,0.0708497,-0.2091791,0.0432998,0.9998732,0.0118127,-0.0103050,-0.0028374,1.0000000,0.0000000,0.0000000,0.0000000,0.9994908,0.0236685,-0.0206342,-0.0056717,0.9923470,-0.0499262,0.0724631,-0.0866255,0.9921941,-0.0522451,0.0748074,-0.0850015,0.9848285,-0.0119205,-0.1697371,0.0340601,0.8010945,0.0205127,0.0831518,0.5923787,0.9687520,0.0916934,0.2004430,0.1137299,0.9178411,0.2753515,0.1459843,-0.2458411,0.9983944,0.0179921,0.0508865,0.0171912,0.7113443,-0.2625141,-0.1958483,-0.6218674,0.9120705,0.0174971,-0.4026944,-0.0752241,0.9010366,-0.0814767,-0.2136301,0.3685877,0.9870557,-0.1567783,0.0312198,0.0129210,0.9748870,0.2224903,0.0000129,-0.0096655,0.9818192,-0.1335316,-0.1318007,-0.0287939,0.9999987,-0.0007422,-0.0014722,-0.0000008,0.9346251,-0.0190746,0.3407857,0.0998859,0.9999997,0.0007697,-0.0000003,-0.0000363,0.9889443,0.1170802,0.0320255,-0.0851816,0.9986911,-0.0511479,-0.0000029,0.0000031
-0.3036800,1.0414400,-0.6798900,0.9747916,0.0731701,-0.2064904,0.0423001,0.9998282,0.0137366,-0.0118440,-0.0038289,1.0000000,0.0000000,0.0000000,0.0000000,0.9993098,0.0275388,-0.0237297,-0.0076462,0.9922263,-0.0540942,0.0711367,-0.0866051,0.9919526,-0.0583374,0.0737863,-0.0847486,0.9846480,-0.0129165,-0.1706250,0.0344752,0.8011127,0.0186820,0.0930273,0.5909446,0.9600830,0.0948939,0.2257046,0.1352524,0.9142951,0.2711396,0.1560138,-0.2573081,0.9985986,0.0224323,0.0456240,0.0147044,0.7096694,-0.2499204,-0.2101276,-0.6243040,0.9377459,0.0008143,-0.3405259,-0.0683682,0.9011237,-0.1109550,-0.2125020,0.3612588,0.9867377,-0.1592854,0.0273676,0.0150961,0.9750898,0.2215991,0.0000092,-0.0096831,0.9819264,-0.1322604,-0.1320311,-0.0299245,0.9999982,-0.0011781,-0.0014823,0.0000062,0.9358448,-0.0229525,0.3368732,0.1009168,0.9999998,0.0006470,0.0000053,-0.0000320,0.9889791,0.1168629,0.0341024,-0.0842640,0.9987790,-0.0494018,-0.0000017,0.0000043
